simulation,Spain,Argentina,France,England,Brazil
124,21.774193548387096,21.774193548387096,8.870967741935484,11.29032258064516,3.225806451612903
125,21.6,22.400000000000002,8.799999999999999,11.200000000000001,3.2
126,21.428571428571427,22.22222222222222,8.73015873015873,11.11111111111111,3.1746031746031744
127,21.25984251968504,22.04724409448819,8.661417322834646,11.023622047244094,3.149606299212598
128,21.09375,21.875,8.59375,10.9375,3.90625
129,20.930232558139537,22.48062015503876,8.527131782945736,10.852713178294573,3.875968992248062
130,20.76923076923077,23.076923076923077,8.461538461538462,10.76923076923077,3.8461538461538463
131,20.610687022900763,23.66412213740458,8.396946564885496,10.687022900763358,3.816793893129771
132,20.454545454545457,23.484848484848484,8.333333333333332,10.606060606060606,4.545454545454546
133,20.30075187969925,23.308270676691727,8.270676691729323,10.526315789473683,4.511278195488721
134,20.149253731343283,23.88059701492537,8.208955223880597,10.44776119402985,4.477611940298507
135,20.0,23.703703703703706,8.88888888888889,10.37037037037037,4.444444444444445
136,19.852941176470587,23.52941176470588,8.823529411764707,10.294117647058822,4.411764705882353
137,19.708029197080293,23.357664233576642,9.48905109489051,10.218978102189782,4.37956204379562
138,19.565217391304348,23.18840579710145,9.420289855072465,10.869565217391305,4.3478260869565215
139,19.424460431654676,23.021582733812952,9.352517985611511,10.79136690647482,4.316546762589928
140,19.28571428571429,23.57142857142857,9.285714285714286,10.714285714285714,4.285714285714286
141,19.148936170212767,24.113475177304963,9.219858156028367,10.638297872340425,4.25531914893617
142,19.014084507042252,23.943661971830984,9.15492957746479,10.56338028169014,4.225352112676056
143,18.88111888111888,23.776223776223777,9.79020979020979,10.48951048951049,4.195804195804196
144,18.75,23.61111111111111,10.416666666666668,10.416666666666668,4.166666666666666
145,18.620689655172416,23.448275862068964,11.03448275862069,10.344827586206897,4.137931034482759
146,18.493150684931507,23.972602739726025,10.95890410958904,10.273972602739725,4.10958904109589
147,18.367346938775512,23.809523809523807,10.884353741496598,10.204081632653061,4.081632653061225
148,18.243243243243242,24.324324324324326,10.81081081081081,10.135135135135135,4.054054054054054
149,18.79194630872483,24.161073825503358,10.738255033557047,10.06711409395973,4.026845637583892
150,19.333333333333332,24.0,10.666666666666668,10.0,4.0
151,19.205298013245034,23.841059602649008,11.258278145695364,9.933774834437086,3.9735099337748347
152,19.078947368421055,23.684210526315788,11.842105263157894,9.868421052631579,3.9473684210526314
153,19.607843137254903,23.52941176470588,11.76470588235294,9.803921568627452,3.9215686274509802
154,19.480519480519483,23.376623376623375,11.688311688311687,9.740259740259742,3.896103896103896
