simulation,Brazil,Argentina,Spain,France,England
220,31.363636363636367,21.818181818181817,7.727272727272727,7.727272727272727,5.454545454545454
221,31.221719457013574,21.71945701357466,7.6923076923076925,7.6923076923076925,5.429864253393665
222,31.53153153153153,21.62162162162162,7.657657657657657,7.657657657657657,5.405405405405405
223,31.390134529147986,21.973094170403588,7.623318385650224,7.623318385650224,5.381165919282512
224,31.25,21.875,7.5892857142857135,7.5892857142857135,5.357142857142857
225,31.555555555555554,21.777777777777775,7.555555555555555,7.555555555555555,5.333333333333334
226,31.41592920353982,21.68141592920354,7.52212389380531,7.52212389380531,5.3097345132743365
227,31.718061674008812,21.58590308370044,7.488986784140969,7.488986784140969,5.286343612334802
228,31.57894736842105,21.49122807017544,7.456140350877193,7.456140350877193,5.263157894736842
229,31.877729257641924,21.397379912663755,7.423580786026202,7.423580786026202,5.240174672489083
230,32.17391304347826,21.304347826086957,7.391304347826087,7.391304347826087,5.217391304347826
231,32.03463203463203,21.21212121212121,7.792207792207792,7.35930735930736,5.194805194805195
232,31.896551724137932,21.120689655172413,7.758620689655173,7.327586206896551,5.172413793103448
233,31.759656652360512,21.030042918454935,7.725321888412018,7.296137339055794,5.150214592274678
234,31.62393162393162,20.94017094017094,7.6923076923076925,7.264957264957266,5.128205128205128
235,31.914893617021278,20.851063829787233,7.659574468085106,7.234042553191489,5.106382978723404
236,32.20338983050847,20.76271186440678,7.627118644067797,7.203389830508475,5.084745762711865
237,32.06751054852321,21.09704641350211,7.59493670886076,7.172995780590717,5.063291139240507
238,32.35294117647059,21.008403361344538,7.563025210084033,7.142857142857142,5.042016806722689
239,32.63598326359833,20.920502092050206,7.531380753138076,7.112970711297072,5.02092050209205
240,32.916666666666664,20.833333333333336,7.5,7.083333333333333,5.0
241,32.780082987551864,21.16182572614108,7.468879668049793,7.053941908713693,4.979253112033195
242,32.64462809917356,21.074380165289256,7.851239669421488,7.024793388429752,4.958677685950414
243,32.510288065843625,20.98765432098765,7.818930041152264,6.995884773662551,4.938271604938271
244,32.37704918032787,20.901639344262296,7.786885245901639,7.377049180327869,4.918032786885246
245,32.244897959183675,20.816326530612244,7.755102040816326,7.346938775510205,4.8979591836734695
246,32.52032520325203,20.73170731707317,7.723577235772358,7.317073170731707,4.878048780487805
247,32.388663967611336,20.647773279352226,7.6923076923076925,7.28744939271255,4.8582995951417
248,32.25806451612903,20.56451612903226,7.661290322580645,7.661290322580645,4.838709677419355
249,32.1285140562249,20.481927710843372,7.630522088353414,7.630522088353414,4.819277108433735
250,32.0,20.4,8.0,7.6,4.8
251,31.872509960159363,20.318725099601593,7.968127490039841,7.569721115537849,4.780876494023905
